<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
USDCNYTDTM;M;20221101;000000;0.007892;0.007892;0.007892;0.007892;100000;0
USDKZT_TOM;M;20221001;000000;475;480;460;465;14846000;0
USDKZT_TOM;M;20221101;000000;467.25;469.73;466.78;468.31;19298000;0
USDKZT_TOM;M;20221201;000000;467.73;473.57;467.11;467.11;24352000;0
USDRUB_TMS;M;20221001;000000;58.6;64.9;56.5;61.4975;20173529;0
USDRUB_TMS;M;20221101;000000;61.5;62.47;60.0125;60.94;19565721;0
USDRUB_TMS;M;20221201;000000;60.695;63.455;60.695;62.8625;10021638;0
USDRUB_TOD;M;20221001;000000;58.4;65.2625;56.85;61.3975;20139045000;0
USDRUB_TOD;M;20221101;000000;61.6;62.9325;60;60.89;13389304000;0
USDRUB_TOD;M;20221201;000000;60.7525;63.35;60.715;62.995;6283482000;0
USDRUB_TOM;M;20221001;000000;58.2875;64.9275;56.76;61.4775;27038471000;0
USDRUB_TOM;M;20221101;000000;61.52;62.4825;59.98;60.99;25773574000;0
USDRUB_TOM;M;20221201;000000;60.78;63.4325;60.78;62.85;10516117000;0
UZSRUB_TOD;M;20221001;000000;58;59.1;57;58.1;440000000;0
UZSRUB_TOD;M;20221101;000000;52.22;52.22;52.22;52.22;50000000;0
UZSRUB_TOD;M;20221201;000000;57.65;57.65;57.65;57.65;10000000;0
UZSRUB_TOM;M;20221001;000000;56;56;56;56;1000000;0
UZSRUB_TOM;M;20221101;000000;54.5;55;53.42;53.42;434000000;0
UZSRUB_TOM;M;20221201;000000;54.99;56.06;54.99;56.06;1092000000;0
